"date","CRUZADOS CI ","AZUL CI ","COLO/B CI ","IPSA ","SPX "
2013-06-03,208.633,1266.89,302.5,4167.21,1640.42
2013-06-04,208.633,1266.89,300,4198.83,1631.38
2013-06-05,208.633,1266.89,312,4192.67,1608.9
2013-06-06,208.633,1266.89,305,4168.84,1622.56
2013-06-07,208.633,1199.71,305,4119.25,1643.38
2013-06-10,208.633,1151.72,305,4030.78,1642.81
2013-06-11,208.633,1151.72,303,3962.95,1626.13
2013-06-12,208.633,1103.73,300,3924.43,1612.52
2013-06-13,208.633,1113.33,305,3981.48,1636.36
2013-06-14,208.633,1113.33,304,3990.21,1626.73
2013-06-17,198.929,1113.33,304,3972.59,1639.04
2013-06-18,198.929,1151.72,304,3974.23,1651.81
2013-06-19,198.929,1151.72,304,3947.11,1628.93
2013-06-20,196.018,1190.11,306,3826.43,1588.19
2013-06-21,196.018,1161.31,305.99,3821.74,1592.43
2013-06-24,196.018,1153.64,306,3802.19,1573.09
2013-06-25,196.018,1161.31,306,3821.26,1588.03
2013-06-26,196.018,1199.71,310,3903.31,1603.26
2013-06-27,184.374,1247.69,308.5,3961.88,1613.2
2013-06-28,184.374,1295.68,307,4029.67,1606.28
2013-07-01,184.374,1295.68,307.5,3953.87,1614.96
2013-07-02,189.225,1294.72,308,3876.62,1614.08
2013-07-03,189.225,1294.72,307,3847.63,1615.41
2013-07-04,186.314,1339.93,308,3866.23,NA
2013-07-05,186.314,1338.87,307,3831.92,1631.89
2013-07-08,194.077,1266.89,306,3817.7,1640.46
2013-07-09,195.048,1324.47,306,3777.95,1652.32
2013-07-10,195.048,1262.95,306,3735.92,1652.62
2013-07-11,195.048,1262.95,306,3730.44,1675.02
2013-07-12,195.048,1262.95,308,3740.3,1680.19
2013-07-15,195.048,1266.89,315,3806.92,1682.5
2013-07-17,195.048,1266.89,349.49,3864.43,1680.91
2013-07-18,193.107,1266.89,345,3909.94,1689.37
2013-07-19,193.107,1287.04,349,3852.57,1692.09
2013-07-22,193.107,1343.67,340,3859.92,1695.53
2013-07-23,188.255,1391.66,340,3859.95,1692.39
2013-07-24,186.314,1401.26,349,3872.01,1685.94
2013-07-25,186.314,1445.4,352,3849.89,1690.25
2013-07-26,186.314,1487.63,350,3809.52,1691.65
2013-07-29,186.314,1458.84,340,3803.9,1685.33
2013-07-30,190.196,1439.65,340,3748.36,1685.96
2013-07-31,194.077,1391.66,340,3732.54,1685.73
2013-08-01,194.077,1391.66,340.2,3830.59,1706.87
2013-08-02,194.077,1391.66,350,3820.54,1709.67
2013-08-05,194.077,1391.66,348,3778.91,1707.14
2013-08-06,194.077,1454.04,329,3711.01,1697.37
2013-08-07,194.077,1468.44,335,3666.22,1690.91
2013-08-08,194.077,1439.65,334,3740.59,1697.48
2013-08-09,194.077,1439.65,334,3779.02,1691.42
2013-08-12,194.077,1439.65,329.9,3785.04,1689.47
2013-08-13,194.077,1439.65,315,3775.22,1694.16
2013-08-14,194.077,1440.61,315,3759.45,1685.39
2013-08-16,188.255,1440.61,320,3730.4,1655.83
2013-08-19,189.225,1439.65,322,3702.92,1646.06
2013-08-20,189.225,1439.65,325,3687.19,1652.35
2013-08-21,189.225,1458.84,333,3620.66,1642.8
2013-08-22,189.225,1458.84,332,3616.15,1656.96
2013-08-23,189.225,1458.84,332,3660.17,1663.5
2013-08-26,189.225,1458.84,332,3641.24,1656.78
2013-08-27,198.929,1443.87,320,3558.24,1630.48
2013-08-28,198.929,1439.65,310,3537.81,1634.96
2013-08-29,198.929,1430.05,300,3554.45,1638.17
2013-08-30,198.929,1449.24,291,3628.73,1632.97
2013-09-02,196.989,1449.24,283,3639.13,NA
2013-09-03,201.84,1425.25,275.22,3613.7,1639.77
2013-09-04,201.84,1434.85,280,3618.64,1653.08
2013-09-05,201.84,1434.85,285,3709.79,1655.08
2013-09-06,205.722,1434.85,285,3799.28,1655.17
2013-09-09,205.722,1434.85,285,3893.53,1671.71
2013-09-10,205.722,1434.85,290,3893.42,1683.99
2013-09-11,205.722,1406.05,290,3903.44,1689.13
2013-09-12,205.722,1391.66,290,3830.97,1683.42
2013-09-13,205.722,1391.66,285,3791.66,1687.99
2013-09-16,223.189,1391.66,290,3835.03,1697.6
2013-09-17,228.041,1391.66,289.9,3820.84,1704.76
2013-09-23,223.189,1391.66,289.99,3952.03,1701.84
2013-09-24,218.24,1343.67,290,3918.11,1697.42
2013-09-25,218.24,1324.47,295,3902.07,1692.77
2013-09-26,218.337,1305.28,295,3896.27,1698.67
2013-09-27,223.179,1305.28,294.89,3872.91,1691.75
2013-09-30,223.189,1305.28,294,3823.85,1681.55
2013-10-01,223.189,1305.28,277,3855.7,1695
2013-10-02,222.898,1305.28,280,3821.79,1693.87
2013-10-03,222.898,1305.28,282,3826.61,1678.66
2013-10-04,223.092,1305.28,285,3839.24,1690.5
2013-10-07,223.189,1305.28,290.66,3812.86,1676.12
2013-10-08,223.189,1305.28,285,3809.79,1655.45
2013-10-09,223.189,1305.28,285,3776.53,1656.4
2013-10-10,218.337,1257.39,285,3819.44,1692.56
2013-10-11,218.337,1247.89,285,3837.16,1703.2
2013-10-14,218.337,1252.49,280,3844.8,1710.14
2013-10-15,218.337,1247.69,295,3853.04,1698.06
2013-10-16,218.337,1252.49,300,3856.42,1721.54
2013-10-17,218.337,1252.49,300,3823.21,1733.15
2013-10-18,218.337,1252.49,300,3848.61,1744.5
2013-10-21,218.337,1252.49,305,3891.86,1744.66
2013-10-22,218.337,1252.49,296,3894.86,1754.67
2013-10-23,217.367,1247.69,295.9,3930.06,1746.38
2013-10-24,203.781,1247.69,293,3906.88,1752.07
2013-10-25,203.781,1247.69,295,3879.11,1759.77
2013-10-28,203.781,1247.69,295,3885.03,1762.11
2013-10-29,203.781,1190.11,300,3871.47,1771.95
2013-10-30,203.781,1190.11,300,3912.44,1763.31
2013-11-04,205.722,1190.11,290,3923.48,1767.93
2013-11-05,205.722,1151.72,290,3923.34,1762.97
2013-11-06,205.722,1151.72,275.01,3904.29,1770.49
2013-11-07,203.781,1151.72,280,3904.28,1747.15
2013-11-08,203.781,1151.72,282,3837.62,1770.61
2013-11-11,203.781,1122.92,296.01,3777.42,1771.89
2013-11-12,203.781,1122.92,296.01,3781.46,1767.69
2013-11-13,203.781,1122.92,296.01,3723.77,1782
2013-11-14,202.811,1122.92,296,3746.62,1790.62
2013-11-15,202.811,1122.92,296,3799.45,1798.18
2013-11-18,202.811,1122.92,296,3842.26,1791.53
2013-11-19,203.781,1122.92,296,3804.83,1787.87
2013-11-20,203.781,1094.13,290,3764.74,1781.37
2013-11-21,203.781,1094.13,290,3715.14,1795.85
2013-11-22,203.781,1084.53,290,3735.54,1804.76
2013-11-25,203.781,1079.73,290,3717.72,1802.48
2013-11-26,203.781,1079.73,290,3671.78,1802.75
2013-11-27,203.781,1151.72,290,3716.92,1807.23
2013-11-28,203.781,1074.94,270,3741.89,NA
2013-11-29,203.781,1074.94,260,3789.06,1805.81
2013-12-02,203.781,1055.74,254,3760.5,1800.9
2013-12-03,203.781,1055.74,244,3718.76,1795.15
2013-12-04,203.781,1055.74,240,3714.93,1792.81
2013-12-05,203.781,1055.74,240,3729.69,1785.03
2013-12-06,198.92,1055.74,240,3706.94,1805.09
2013-12-09,198.92,1055.74,289,3704.15,1808.37
2013-12-10,197.959,1085.49,288,3708.34,1802.62
2013-12-11,192.137,1085.49,287,3699.27,1782.22
2013-12-12,191.166,1085.49,287,3673.42,1775.5
2013-12-13,194.077,1084.53,292,3657.6,1775.32
2013-12-16,194.077,1084.53,299.5,3688.51,1786.54
2013-12-17,194.077,1084.53,299,3670.87,1781
2013-12-18,194.077,1084.53,290,3664.82,1810.65
2013-12-19,194.077,1150.76,299,3679.89,1809.6
2013-12-20,194.077,1199.71,299,3705.77,1818.32
2013-12-23,194.077,1199.71,300,3679.4,1827.99
2013-12-24,194.077,1199.71,300,3677.59,1833.32
2013-12-26,194.077,1209.3,309,3652.91,1842.02
2013-12-27,194.077,1209.3,310,3696.75,1841.4
2013-12-30,194.077,1209.3,305,3699.19,1841.07
2014-01-02,194.077,1209.3,310,3694.33,1831.98
2014-01-03,194.077,1209.3,310,3698.6,1831.37
2014-01-06,194.077,1211.22,305,3694.99,1826.77
2014-01-07,184.325,1087.6,305,3673.68,1837.88
2014-01-08,184.325,1084.53,305,3689.76,1837.49
2014-01-09,184.325,1143.08,312,3645.12,1838.13
2014-01-10,184.325,1151.72,315,3620.46,1842.37
2014-01-13,179.522,1151.72,325,3618.8,1819.2
2014-01-14,179.522,1151.72,326.1,3615.22,1838.88
2014-01-15,179.522,1103.73,330,3650.07,1848.38
2014-01-16,179.522,1055.74,329,3673,1845.89
2014-01-17,170.788,1055.74,320,3704.44,1838.7
2014-01-20,174.67,1055.74,320,3686.68,NA
2014-01-21,173.699,1055.74,320,3679.77,1843.8
2014-01-22,171.758,1055.74,320,3700.08,1844.86
2014-01-23,172.729,1055.74,320,3673.23,1828.46
2014-01-24,169.818,1055.74,321,3597.99,1790.29
2014-01-27,169.818,1055.74,330,3520.82,1781.56
2014-01-28,169.818,1055.74,330,3487,1792.5
2014-01-29,169.818,1055.74,335,3393.31,1774.2
2014-01-30,169.818,1055.74,347,3391.31,1794.19
2014-01-31,167.877,1161.31,370,3439.41,1782.59
2014-02-03,167.877,1161.31,410,3393.27,1741.89
2014-02-04,167.877,1161.31,410,3407.26,1755.2
2014-02-05,170.788,1199.71,470.32,3408.89,1751.64
2014-02-06,170.788,1199.71,489.99,3446.99,1773.43
2014-02-07,170.788,1295.68,496,3485.41,1797.02
2014-02-10,170.788,1199.71,509.09,3501,1799.84
2014-02-11,174.67,1175.71,466,3548.88,1819.75
2014-02-12,174.67,1178.59,470,3605.46,1819.26
2014-02-13,174.67,1199.71,495,3603.95,1829.83
2014-02-14,179.522,1199.71,491,3666.48,1838.63
2014-02-17,183.403,1204.5,489,3671.7,NA
2014-02-18,189.225,1180.51,470,3648.03,1840.76
2014-02-19,193.107,1151.72,454,3641.25,1828.75
2014-02-20,190.196,1151.72,450,3641.09,1839.78
2014-02-21,190.196,1151.72,460,3626.69,1836.25
2014-02-24,184.374,1151.72,470,3640.44,1847.61
2014-02-25,184.374,1151.72,460,3633.78,1845.12
2014-02-26,182.433,1073.02,479,3675.28,1845.16
2014-02-27,182.433,1055.74,461,3689.01,1854.29
2014-02-28,184.374,1055.74,451,3718.88,1859.45
2014-03-03,184.374,1065.34,471.14,3661.65,1845.73
2014-03-04,184.374,1055.74,469,3703.82,1873.91
2014-03-05,184.374,1055.74,451.3,3715.81,1873.81
2014-03-06,184.374,1055.74,450,3730.39,1877.03
2014-03-07,179.522,1065.34,457,3697.79,1878.04
2014-03-10,179.522,1055.74,460,3652.51,1877.17
2014-03-11,179.522,1055.74,460,3659.3,1867.63
2014-03-12,179.522,1055.74,454.5,3623.29,1868.2
2014-03-13,179.522,1055.74,453,3630.76,1846.34
2014-03-14,179.522,1055.74,450,3611.65,1841.13
2014-03-17,179.522,1151.72,443,3631.28,1858.83
2014-03-18,179.522,1151.72,439.85,3673.62,1872.25
2014-03-19,179.522,1180.51,425.1,3638.8,1860.77
2014-03-20,183.403,1190.11,426.01,3656.05,1872.01
2014-03-21,183.403,1186.27,438,3633.2,1866.52
2014-03-24,176.61,1180.51,444.99,3658.94,1857.44
2014-03-25,176.61,1179.55,430,3707.74,1865.62
2014-03-26,176.61,1179.55,425,3697.14,1852.56
2014-03-27,176.61,1121,420,3742.36,1849.04
2014-03-28,185.344,1178.59,415,3759.79,1857.62
2014-03-31,185.344,1178.59,395,3772.76,1872.34
2014-04-01,179.522,1103.73,405,3794.63,1885.52
2014-04-02,174.67,1098.93,400.2,3809.86,1890.9
2014-04-03,174.67,1098.93,405,3793.64,1888.77
2014-04-04,172.729,1070.14,410,3766.41,1865.09
2014-04-07,173.699,1104.69,416.85,3778.26,1845.04
2014-04-08,173.699,1104.69,420,3822.19,1851.96
2014-04-09,174.67,1104.69,425,3863.92,1872.18
2014-04-10,174.67,1102.77,425,3853.95,1833.08
2014-04-11,174.67,1108.53,439,3868.35,1815.69
2014-04-14,174.67,1108.53,399.01,3893.51,1830.61
2014-04-15,174.67,1113.33,381,3877.49,1842.98
2014-04-16,176.61,1103.73,376,3912.24,1862.31
2014-04-17,176.61,1103.73,377.55,3895.63,1864.85
2014-04-21,176.61,1103.73,350,3887.86,1871.89
2014-04-22,189.225,1103.73,360,3878.5,1879.55
2014-04-23,184.374,1103.73,360,3871.61,1875.39
2014-04-24,184.374,1079.73,366.6,3869.16,1878.61
2014-04-25,184.374,1103.73,359.9,3823.65,1863.4
2014-04-28,184.374,1113.33,350,3812.86,1869.43
2014-04-29,187.285,1113.33,346,3846.91,1878.33
2014-04-30,189.225,1113.33,345,3909.64,1883.95
2014-05-02,189.225,1179.55,340,3929.85,1881.14
2014-05-05,189.225,1179.55,322,3907,1884.66
2014-05-06,198.929,1179.55,330,3891.53,1867.72
2014-05-07,197.086,1179.55,340,3903.68,1878.21
2014-05-08,194.184,1179.55,340,3910.94,1875.63
2014-05-09,194.184,1179.55,340,3904.06,1878.48
2014-05-12,194.184,1179.55,348,3920.17,1896.65
2014-05-13,194.077,1179.55,350.1,3956.34,1897.45
2014-05-14,194.077,1121,356,3964.09,1888.53
2014-05-15,194.077,1121,360,3947.2,1870.85
2014-05-16,194.077,1065.34,365,3969.38,1877.86
2014-05-19,194.077,1066.3,344.98,3935.28,1885.08
2014-05-20,189.225,1119.56,333,3881.35,1872.83
2014-05-22,189.225,1118.13,333,3925.31,1892.49
2014-05-23,189.225,1151.72,333,3960.06,1900.53
2014-05-26,189.225,1151.72,330,3959.01,NA
2014-05-27,190.196,1151.72,328,3930.02,1911.91
2014-05-28,190.196,1150.76,333,3929.3,1909.78
2014-05-29,190.196,1150.76,330,3944.21,1920.03
2014-05-30,190.196,1150.76,330,3903.81,1923.57
2014-06-02,184.374,1150.76,329,3891.19,1924.97
2014-06-03,184.374,1150.76,327,3914.2,1924.24
2014-06-04,184.374,1113.33,322,3916.96,1927.88
2014-06-05,184.374,1113.33,319.99,3940.35,1940.46
2014-06-06,184.374,1113.33,311,3936.37,1949.44
2014-06-09,184.374,1113.33,300,3912.01,1951.27
2014-06-10,184.374,1113.33,295,3929.53,1950.79
2014-06-11,184.374,1113.33,285,3906.91,1943.89
2014-06-12,184.374,1113.33,300,3890.77,1930.11
2014-06-13,184.374,1113.33,300,3863.13,1936.16
2014-06-16,184.374,1103.73,300,3841.28,1937.78
2014-06-17,184.374,1103.73,300,3827.68,1941.99
2014-06-18,184.374,1103.73,295,3869.3,1956.98
2014-06-19,184.374,1103.73,295,3893.56,1959.48
2014-06-20,184.374,1103.73,298,3870.2,1962.87
2014-06-23,184.374,1103.73,300.1,3879.98,1962.61
2014-06-24,177.581,1103.73,299,3902.03,1949.98
2014-06-25,175.737,1103.73,296,3893.83,1959.53
2014-06-26,175.737,1103.73,299,3886.91,1957.22
2014-06-27,175.737,1103.73,299,3874.47,1960.96
2014-06-30,175.737,1103.73,295,3875.73,1960.23
2014-07-01,175.737,1094.13,300,3871.03,1973.32
2014-07-02,175.737,1094.13,302,3887.72,1974.62
2014-07-03,175.737,1103.73,295.8,3893.49,1985.44
2014-07-04,175.737,1103.73,297,3887.55,NA
2014-07-07,175.737,1103.73,297,3882.17,1977.65
2014-07-08,175.737,1141.16,297,3920.66,1963.71
2014-07-09,175.737,1145.96,300,3974.34,1972.83
2014-07-10,171.758,1145.96,294.05,3967.36,1964.68
2014-07-11,169.915,1145.96,300,3974.45,1967.57
2014-07-14,167.392,1161.31,300,3964.81,1977.1
2014-07-15,167.392,1161.31,300,3964.22,1973.28
2014-07-17,168.847,1151.72,310,3946.67,1958.12
2014-07-18,168.847,1151.72,310,3945.35,1978.22
2014-07-21,170.788,1161.31,314.99,3936.83,1973.63
2014-07-22,170.788,1209.3,315.5,3931.12,1983.53
2014-07-23,174.67,1218.9,329.9,3921.98,1987.01
2014-07-24,174.67,1228.5,316,3929.51,1987.98
2014-07-25,174.67,1228.5,316,3918.79,1978.34
2014-07-28,174.67,1228.5,320,3918.56,1978.91
2014-07-29,174.67,1247.69,315,3914.86,1969.95
2014-07-30,174.67,1247.69,319,3906.37,1970.07
2014-07-31,174.67,1257.29,319,3875.44,1930.67
2014-08-01,174.67,1295.68,315,3904.93,1925.15
2014-08-04,184.374,1324.47,323,3934.93,1938.99
2014-08-05,184.374,1391.66,322,3940.62,1920.21
2014-08-06,184.374,1386.86,320,3923.37,1920.24
2014-08-07,184.374,1386.86,320,3906.73,1909.57
2014-08-08,184.374,1383.02,319,3894.46,1931.59
2014-08-11,184.374,1439.65,308,3926.35,1936.92
2014-08-12,184.374,1434.85,311,3924.05,1933.75
2014-08-13,184.374,1391.66,315,3952.77,1946.72
2014-08-14,170.982,1391.66,311,3955.38,1955.18
2014-08-18,174.67,1391.66,321,3953.56,1971.74
2014-08-19,174.67,1386.86,321,3947.96,1981.6
2014-08-20,174.67,1386.86,320,3978,1986.51
2014-08-21,174.67,1343.67,319,3969.36,1992.37
2014-08-22,172.729,1343.67,311,3950.01,1988.4
2014-08-25,164.966,1343.67,305,3945.78,1997.92
2014-08-26,164.966,1343.67,301.63,3951.44,2000.02
2014-08-27,164.966,1295.68,302,3973.31,2000.12
2014-08-28,164.966,1295.68,304,3963.78,1996.74
2014-08-29,165.936,1257.29,309,3996.64,2003.37
2014-09-01,165.936,1257.29,312,4012.06,NA
2014-09-02,165.936,1240.98,309.9,4055.1,2002.28
2014-09-03,165.936,1223.7,300,4094.65,2000.72
2014-09-04,165.936,1223.7,300,4086.33,1997.65
2014-09-05,165.936,1223.7,300,4071.26,2007.71
2014-09-08,166.907,1223.7,309.2,4060.05,2001.54
2014-09-09,166.907,1223.7,294.5,4062.51,1988.44
2014-09-10,166.907,1223.7,289.9,4067.05,1995.69
2014-09-11,166.907,1209.3,290,4025.73,1997.45
2014-09-12,166.907,1180.51,300,3990.97,1985.54
2014-09-15,166.907,1180.51,300,3968.13,1984.13
2014-09-16,166.907,1180.51,300,3994,1998.98
2014-09-17,166.907,1180.51,300,4028.55,2001.57
2014-09-22,179.522,1151.72,295,3999.34,1994.29
2014-09-23,179.522,1151.72,295,3962.28,1982.77
2014-09-24,174.67,1142.12,290,3972.79,1998.3
2014-09-25,174.67,1142.12,290,3976.17,1965.99
2014-09-26,174.67,1142.12,281.38,3968.61,1982.85
2014-09-29,174.67,1142.12,279.99,3943.88,1977.8
2014-09-30,176.61,1142.12,275,3943.56,1972.29
2014-10-01,176.61,1142.12,275,3882.16,1946.16
2014-10-02,176.61,1142.12,269,3872.52,1946.17
2014-10-03,173.699,1142.12,273.17,3924.31,1967.9
2014-10-06,173.699,1142.12,269.13,3948.68,1964.82
2014-10-07,173.699,1142.12,273,3933.41,1935.1
2014-10-08,173.699,1142.12,279.98,3913.52,1968.89
2014-10-09,173.699,1142.12,275,3884.81,1928.21
2014-10-10,173.699,1142.12,278,3831.91,1906.13
2014-10-13,174.67,1142.12,274.28,3858.49,1874.74
2014-10-14,174.67,1143.08,278,3846.23,1877.7
2014-10-15,174.67,1247.69,270,3791.28,1862.49
2014-10-16,173.69,1247.69,262.01,3778.03,1862.76
2014-10-17,173.69,1247.69,270,3760.74,1886.76
2014-10-20,173.69,1247.69,271,3757.11,1904.01
2014-10-21,173.69,1247.69,274,3794.5,1941.28
2014-10-22,173.69,1247.69,274,3808.67,1927.11
2014-10-23,173.69,1247.69,270,3816.88,1950.82
2014-10-24,173.69,1247.69,261.45,3822.55,1964.58
2014-10-27,173.69,1247.69,265,3794.83,1961.63
2014-10-28,169.827,1247.69,268,3792.22,1985.05
2014-10-29,169.827,1103.73,268,3804.9,1982.3
2014-10-30,169.827,1103.73,270,3850.97,1994.65
2014-11-03,169.827,1103.73,269.85,3901.14,2017.81
2014-11-04,169.827,1113.33,260,3901.15,2012.1
2014-11-05,169.827,1113.33,270,3908.46,2023.57
2014-11-06,165.073,1151.72,265,3890.31,2031.21
2014-11-07,165.073,1113.33,266,3888.07,2031.92
2014-11-10,162.055,1113.33,257,3890.44,2038.26
2014-11-11,162.055,1113.33,251,3891.37,2039.68
2014-11-12,162.055,1113.33,251.01,3921.62,2038.25
2014-11-13,162.055,1113.33,255,3931.8,2039.33
2014-11-14,162.055,1113.33,255,3919.85,2039.82
2014-11-17,156.087,1103.73,255,3921.98,2041.32
2014-11-18,156.087,1103.73,260,3933.64,2051.8
2014-11-19,156.087,1103.73,260,3975.15,2048.72
2014-11-20,164.966,1103.73,255,3976.18,2052.75
2014-11-21,164.966,1103.73,251,3988.04,2063.5
2014-11-24,164.966,1103.73,264,3972.04,2069.41
2014-11-25,164.481,1103.73,264,3975.86,2067.03
2014-11-26,164.966,1103.73,264,3962.08,2072.83
2014-11-27,174.67,1103.73,264,3981.07,NA
2014-11-28,174.67,1104.69,272,3991.78,2067.56
2014-12-01,174.67,1104.69,272,3958.49,2053.44
2014-12-02,174.67,1104.69,272,3948.93,2066.55
2014-12-03,174.67,1104.69,270,3948.27,2074.33
2014-12-04,172.729,1104.69,268.01,3941.88,2071.92
2014-12-05,172.729,1151.72,271,3968.12,2075.37
2014-12-09,172.729,1150.76,262.84,3911.27,2059.82
2014-12-10,169.818,1107.76,262.84,3859.57,2026.14
2014-12-11,169.818,1061.5,262.84,3825.33,2035.33
2014-12-12,169.818,1113.33,266.85,3802.57,2002.33
2014-12-15,172.729,1113.33,266,3752.89,1989.63
2014-12-16,190.681,1113.33,266,3751.51,1972.74
2014-12-17,182.433,1113.33,264,3779.19,2012.89
2014-12-18,182.433,1113.33,263,3808.54,2061.23
2014-12-19,176.61,1113.33,263,3810.23,2070.65
2014-12-22,176.61,1113.33,269,3798.47,2078.54
2014-12-23,176.61,1113.33,269,3820.58,2082.17
2014-12-24,176.61,1113.33,269,3812.14,2081.88
2014-12-26,174.67,1113.33,268.61,3818.49,2088.77
2014-12-29,174.67,1113.33,260,3854.41,2090.57
2014-12-30,174.67,1113.33,269,3850.96,2080.35
2015-01-02,174.67,1103.73,268,3851.23,2058.2
2015-01-05,174.67,1103.73,268,3797.99,2020.58
